Tipo de residuo;Comunidades y Ciudades Autónomas;Periodo;Total
10.1.1 Residuos domésticos y similares (domésticos y vías públicas);13 Comunidad de Madrid;2016;2017961
10.1.1 Residuos domésticos y similares (domésticos y vías públicas);13 Comunidad de Madrid;2015;1929269
10.1.1 Residuos domésticos y similares (domésticos y vías públicas);13 Comunidad de Madrid;2014;1977666
10.1.1 Residuos domésticos y similares (domésticos y vías públicas);13 Comunidad de Madrid;2013;1897284
10.1.1 Residuos domésticos y similares (domésticos y vías públicas);13 Comunidad de Madrid;2012;1947739
10.1.1 Residuos domésticos y similares (domésticos y vías públicas);13 Comunidad de Madrid;2011;2062422
10.1.1 Residuos domésticos y similares (domésticos y vías públicas);13 Comunidad de Madrid;2010;2108673
10.1.1 Residuos domésticos y similares (domésticos y vías públicas);14 Región de Murcia;2021;729137
10.1.1 Residuos domésticos y similares (domésticos y vías públicas);14 Región de Murcia;2020;679146
10.1.1 Residuos domésticos y similares (domésticos y vías públicas);14 Región de Murcia;2019;658403
10.1.1 Residuos domésticos y similares (domésticos y vías públicas);14 Región de Murcia;2018;639712
10.1.1 Residuos domésticos y similares (domésticos y vías públicas);14 Región de Murcia;2017;640121
10.1.1 Residuos domésticos y similares (domésticos y vías públicas);14 Región de Murcia;2016;613940
10.1.1 Residuos domésticos y similares (domésticos y vías públicas);14 Región de Murcia;2015;589409
10.1.1 Residuos domésticos y similares (domésticos y vías públicas);14 Región de Murcia;2014;596188
10.1.1 Residuos domésticos y similares (domésticos y vías públicas);14 Región de Murcia;2013;606321
10.1.1 Residuos domésticos y similares (domésticos y vías públicas);14 Región de Murcia;2012;579368
10.1.1 Residuos domésticos y similares (domésticos y vías públicas);14 Región de Murcia;2011;577721
10.1.1 Residuos domésticos y similares (domésticos y vías públicas);14 Región de Murcia;2010;711540
10.1.1 Residuos domésticos y similares (domésticos y vías públicas);15 Comunidad Foral de Navarra;2021;164038
10.1.1 Residuos domésticos y similares (domésticos y vías públicas);15 Comunidad Foral de Navarra;2020;152871
10.1.1 Residuos domésticos y similares (domésticos y vías públicas);15 Comunidad Foral de Navarra;2019;156524
10.1.1 Residuos domésticos y similares (domésticos y vías públicas);15 Comunidad Foral de Navarra;2018;153346
10.1.1 Residuos domésticos y similares (domésticos y vías públicas);15 Comunidad Foral de Navarra;2017;156189
10.1.1 Residuos domésticos y similares (domésticos y vías públicas);15 Comunidad Foral de Navarra;2016;153238
10.1.1 Residuos domésticos y similares (domésticos y vías públicas);15 Comunidad Foral de Navarra;2015;158723
10.1.1 Residuos domésticos y similares (domésticos y vías públicas);15 Comunidad Foral de Navarra;2014;161882
10.1.1 Residuos domésticos y similares (domésticos y vías públicas);15 Comunidad Foral de Navarra;2013;170106
10.1.1 Residuos domésticos y similares (domésticos y vías públicas);15 Comunidad Foral de Navarra;2012;174865
10.1.1 Residuos domésticos y similares (domésticos y vías públicas);15 Comunidad Foral de Navarra;2011;180874
10.1.1 Residuos domésticos y similares (domésticos y vías públicas);15 Comunidad Foral de Navarra;2010;185635
10.1.1 Residuos domésticos y similares (domésticos y vías públicas);16 País Vasco;2021;540177
10.1.1 Residuos domésticos y similares (domésticos y vías públicas);16 País Vasco;2020;421630
10.1.1 Residuos domésticos y similares (domésticos y vías públicas);16 País Vasco;2019;479547
10.1.1 Residuos domésticos y similares (domésticos y vías públicas);16 País Vasco;2018;609079
10.1.1 Residuos domésticos y similares (domésticos y vías públicas);16 País Vasco;2017;550836
10.1.1 Residuos domésticos y similares (domésticos y vías públicas);16 País Vasco;2016;640017
10.1.1 Residuos domésticos y similares (domésticos y vías públicas);16 País Vasco;2015;659754
10.1.1 Residuos domésticos y similares (domésticos y vías públicas);16 País Vasco;2014;564187
10.1.1 Residuos domésticos y similares (domésticos y vías públicas);16 País Vasco;2013;779441
10.1.1 Residuos domésticos y similares (domésticos y vías públicas);16 País Vasco;2012;769912
10.1.1 Residuos domésticos y similares (domésticos y vías públicas);16 País Vasco;2011;680888
10.1.1 Residuos domésticos y similares (domésticos y vías públicas);16 País Vasco;2010;694220
10.1.1 Residuos domésticos y similares (domésticos y vías públicas);17 La Rioja;2021;101616
10.1.1 Residuos domésticos y similares (domésticos y vías públicas);17 La Rioja;2020;104279
10.1.1 Residuos domésticos y similares (domésticos y vías públicas);17 La Rioja;2019;106913
10.1.1 Residuos domésticos y similares (domésticos y vías públicas);17 La Rioja;2018;107923
10.1.1 Residuos domésticos y similares (domésticos y vías públicas);17 La Rioja;2017;106943
10.1.1 Residuos domésticos y similares (domésticos y vías públicas);17 La Rioja;2016;106233
10.1.1 Residuos domésticos y similares (domésticos y vías públicas);17 La Rioja;2015;105254
10.1.1 Residuos domésticos y similares (domésticos y vías públicas);17 La Rioja;2014;104691
10.1.1 Residuos domésticos y similares (domésticos y vías públicas);17 La Rioja;2013;103026
10.1.1 Residuos domésticos y similares (domésticos y vías públicas);17 La Rioja;2012;104789
10.1.1 Residuos domésticos y similares (domésticos y vías públicas);17 La Rioja;2011;109774
10.1.1 Residuos domésticos y similares (domésticos y vías públicas);17 La Rioja;2010;111409
10.1.2 Residuos domésticos voluminosos mezclados (enseres domésticos);Total Nacional;2021;234512
10.1.2 Residuos domésticos voluminosos mezclados (enseres domésticos);Total Nacional;2020;224995
10.1.2 Residuos domésticos voluminosos mezclados (enseres domésticos);Total Nacional;2019;722423
10.1.2 Residuos domésticos voluminosos mezclados (enseres domésticos);Total Nacional;2018;673495
10.1.2 Residuos domésticos voluminosos mezclados (enseres domésticos);Total Nacional;2017;814281
10.1.2 Residuos domésticos voluminosos mezclados (enseres domésticos);Total Nacional;2016;910708
10.1.2 Residuos domésticos voluminosos mezclados (enseres domésticos);Total Nacional;2015;647373
10.1.2 Residuos domésticos voluminosos mezclados (enseres domésticos);Total Nacional;2014;643136
10.1.2 Residuos domésticos voluminosos mezclados (enseres domésticos);Total Nacional;2013;532122
10.1.2 Residuos domésticos voluminosos mezclados (enseres domésticos);Total Nacional;2012;403637
10.1.2 Residuos domésticos voluminosos mezclados (enseres domésticos);Total Nacional;2011;481780
10.1.2 Residuos domésticos voluminosos mezclados (enseres domésticos);Total Nacional;2010;586598
10.1.2 Residuos domésticos voluminosos mezclados (enseres domésticos);01 Andalucía;2021;70299
10.1.2 Residuos domésticos voluminosos mezclados (enseres domésticos);01 Andalucía;2020;54894
10.1.2 Residuos domésticos voluminosos mezclados (enseres domésticos);01 Andalucía;2019;186042
10.1.2 Residuos domésticos voluminosos mezclados (enseres domésticos);01 Andalucía;2018;153300
10.1.2 Residuos domésticos voluminosos mezclados (enseres domésticos);01 Andalucía;2017;380959
10.1.2 Residuos domésticos voluminosos mezclados (enseres domésticos);01 Andalucía;2016;361986
10.1.2 Residuos domésticos voluminosos mezclados (enseres domésticos);01 Andalucía;2015;255581
10.1.2 Residuos domésticos voluminosos mezclados (enseres domésticos);01 Andalucía;2014;252293
10.1.2 Residuos domésticos voluminosos mezclados (enseres domésticos);01 Andalucía;2013;181998
10.1.2 Residuos domésticos voluminosos mezclados (enseres domésticos);01 Andalucía;2012;99589
10.1.2 Residuos domésticos voluminosos mezclados (enseres domésticos);01 Andalucía;2011;152281
10.1.2 Residuos domésticos voluminosos mezclados (enseres domésticos);01 Andalucía;2010;155836
10.1.2 Residuos domésticos voluminosos mezclados (enseres domésticos);02 Aragón;2021;7613
10.1.2 Residuos domésticos voluminosos mezclados (enseres domésticos);02 Aragón;2020;6954
10.1.2 Residuos domésticos voluminosos mezclados (enseres domésticos);02 Aragón;2019;26284
10.1.2 Residuos domésticos voluminosos mezclados (enseres domésticos);02 Aragón;2018;24205
10.1.2 Residuos domésticos voluminosos mezclados (enseres domésticos);02 Aragón;2017;3391
10.1.2 Residuos domésticos voluminosos mezclados (enseres domésticos);02 Aragón;2016;3907
10.1.2 Residuos domésticos voluminosos mezclados (enseres domésticos);02 Aragón;2015;8087
10.1.2 Residuos domésticos voluminosos mezclados (enseres domésticos);02 Aragón;2014;8027
10.1.2 Residuos domésticos voluminosos mezclados (enseres domésticos);02 Aragón;2013;10902
10.1.2 Residuos domésticos voluminosos mezclados (enseres domésticos);02 Aragón;2012;4391
10.1.2 Residuos domésticos voluminosos mezclados (enseres domésticos);02 Aragón;2011;4693
10.1.2 Residuos domésticos voluminosos mezclados (enseres domésticos);02 Aragón;2010;14003
10.1.2 Residuos domésticos voluminosos mezclados (enseres domésticos);03 Principado de Asturias;2021;0
10.1.2 Residuos domésticos voluminosos mezclados (enseres domésticos);03 Principado de Asturias;2020;0
10.1.2 Residuos domésticos voluminosos mezclados (enseres domésticos);03 Principado de Asturias;2019;15158
10.1.2 Residuos domésticos voluminosos mezclados (enseres domésticos);03 Principado de Asturias;2018;15404
10.1.2 Residuos domésticos voluminosos mezclados (enseres domésticos);03 Principado de Asturias;2017;8016
10.1.2 Residuos domésticos voluminosos mezclados (enseres domésticos);03 Principado de Asturias;2016;2222
10.1.2 Residuos domésticos voluminosos mezclados (enseres domésticos);03 Principado de Asturias;2015;15971
10.1.2 Residuos domésticos voluminosos mezclados (enseres domésticos);03 Principado de Asturias;2014;15728
10.1.2 Residuos domésticos voluminosos mezclados (enseres domésticos);03 Principado de Asturias;2013;9605
10.1.2 Residuos domésticos voluminosos mezclados (enseres domésticos);03 Principado de Asturias;2012;5563
10.1.2 Residuos domésticos voluminosos mezclados (enseres domésticos);03 Principado de Asturias;2011;5301
10.1.2 Residuos domésticos voluminosos mezclados (enseres domésticos);03 Principado de Asturias;2010;6488
10.1.2 Residuos domésticos voluminosos mezclados (enseres domésticos);04 Illes Balears;2021;7763
10.1.2 Residuos domésticos voluminosos mezclados (enseres domésticos);04 Illes Balears;2020;8262
10.1.2 Residuos domésticos voluminosos mezclados (enseres domésticos);04 Illes Balears;2019;31178
10.1.2 Residuos domésticos voluminosos mezclados (enseres domésticos);04 Illes Balears;2018;65140
10.1.2 Residuos domésticos voluminosos mezclados (enseres domésticos);04 Illes Balears;2017;20453
10.1.2 Residuos domésticos voluminosos mezclados (enseres domésticos);04 Illes Balears;2016;7845
10.1.2 Residuos domésticos voluminosos mezclados (enseres domésticos);04 Illes Balears;2015;25968
10.1.2 Residuos domésticos voluminosos mezclados (enseres domésticos);04 Illes Balears;2014;20977
10.1.2 Residuos domésticos voluminosos mezclados (enseres domésticos);04 Illes Balears;2013;26407
10.1.2 Residuos domésticos voluminosos mezclados (enseres domésticos);04 Illes Balears;2012;3408
10.1.2 Residuos domésticos voluminosos mezclados (enseres domésticos);04 Illes Balears;2011;11405
10.1.2 Residuos domésticos voluminosos mezclados (enseres domésticos);04 Illes Balears;2010;10298
10.1.2 Residuos domésticos voluminosos mezclados (enseres domésticos);05 Canarias;2021;3539
10.1.2 Residuos domésticos voluminosos mezclados (enseres domésticos);05 Canarias;2020;3363
10.1.2 Residuos domésticos voluminosos mezclados (enseres domésticos);05 Canarias;2019;42665
10.1.2 Residuos domésticos voluminosos mezclados (enseres domésticos);05 Canarias;2018;25440
10.1.2 Residuos domésticos voluminosos mezclados (enseres domésticos);05 Canarias;2017;22064
10.1.2 Residuos domésticos voluminosos mezclados (enseres domésticos);05 Canarias;2016;23555
10.1.2 Residuos domésticos voluminosos mezclados (enseres domésticos);05 Canarias;2015;36822
10.1.2 Residuos domésticos voluminosos mezclados (enseres domésticos);05 Canarias;2014;36599
10.1.2 Residuos domésticos voluminosos mezclados (enseres domésticos);05 Canarias;2013;19188
10.1.2 Residuos domésticos voluminosos mezclados (enseres domésticos);05 Canarias;2012;27410
10.1.2 Residuos domésticos voluminosos mezclados (enseres domésticos);05 Canarias;2011;29880
10.1.2 Residuos domésticos voluminosos mezclados (enseres domésticos);05 Canarias;2010;30371
10.1.2 Residuos domésticos voluminosos mezclados (enseres domésticos);06 Cantabria;2021;0
10.1.2 Residuos domésticos voluminosos mezclados (enseres domésticos);06 Cantabria;2020;286
10.1.2 Residuos domésticos voluminosos mezclados (enseres domésticos);06 Cantabria;2019;30062
10.1.2 Residuos domésticos voluminosos mezclados (enseres domésticos);06 Cantabria;2018;23336
10.1.2 Residuos domésticos voluminosos mezclados (enseres domésticos);06 Cantabria;2017;21135
10.1.2 Residuos domésticos voluminosos mezclados (enseres domésticos);06 Cantabria;2016;23004
10.1.2 Residuos domésticos voluminosos mezclados (enseres domésticos);06 Cantabria;2015;19841
10.1.2 Residuos domésticos voluminosos mezclados (enseres domésticos);06 Cantabria;2014;19632
10.1.2 Residuos domésticos voluminosos mezclados (enseres domésticos);06 Cantabria;2013;17504
10.1.2 Residuos domésticos voluminosos mezclados (enseres domésticos);06 Cantabria;2012;17002
10.1.2 Residuos domésticos voluminosos mezclados (enseres domésticos);06 Cantabria;2011;14905
10.1.2 Residuos domésticos voluminosos mezclados (enseres domésticos);06 Cantabria;2010;8153
10.1.2 Residuos domésticos voluminosos mezclados (enseres domésticos);07 Castilla y León;2021;9847
10.1.2 Residuos domésticos voluminosos mezclados (enseres domésticos);07 Castilla y León;2020;7523
10.1.2 Residuos domésticos voluminosos mezclados (enseres domésticos);07 Castilla y León;2019;26465
10.1.2 Residuos domésticos voluminosos mezclados (enseres domésticos);07 Castilla y León;2018;17151
